Tower Type,Bundle Type,Conductor Type,Impedance,Admittance,A,B,C,D,Vs,Is,Vr (KV),Vr angle (Degrees),Ir (A),Ir angle (Degrees),Cost (Million $),Real Power loss (%),Thermal limit surpassed,Current limit (Summer),Current limit (Winter),Stability limit (MVA),Stability limit angle,Dynamic Stability limit (MVA),Dynamic Stability limit angle
Tower Type A1,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.609+0.419j),2.6175292576204276e-06j,(0.972+0.041j),(135.746+96.163j),(-0+0.001j),(0.972+0.041j),132.0,699.8,70.3,-61.8,682.8,-4.1,37.4,72.19,True,110,308,31.53,35.3,28.9,17.7
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.305+0.287j),3.830619442439883e-06j,(0.972+0.03j),(67.875+65.113j),(-0+0.001j),(0.972+0.03j),132.0,699.8,90.9,-27.3,687.5,-7.8,43.8,36.26,True,110,308,64.16,43.8,54.95,21.9
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.305+0.277j),3.955391288305364e-06j,(0.972+0.031j),(67.875+63.104j),(-0+0.001j),(0.972+0.031j),132.0,699.8,90.2,-26.4,687.9,-8.0,44.4,36.28,True,110,308,64.16,42.9,55.26,21.5
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.203+0.244j),4.497407605134836e-06j,(0.972+0.023j),(45.25+55.233j),(-0+0.001j),(0.972+0.023j),132.0,699.8,102.9,-20.2,691.1,-9.8,50.1,24.26,True,110,308,96.23,50.7,77.92,25.3
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.203+0.229j),4.794515586144e-06j,(0.972+0.025j),(45.25+51.856j),(-0+0.001j),(0.972+0.025j),132.0,699.8,102.1,-18.9,692.6,-10.4,51.5,24.29,True,110,308,96.21,48.9,78.66,24.4
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.152+0.213j),5.158664593667276e-06j,(0.972+0.02j),(33.938+48.072j),(-0+0.001j),(0.972+0.02j),132.0,699.8,109.0,-16.5,695.2,-11.5,56.4,18.26,True,110,308,128.04,54.8,100.63,27.4
Tower Type A1,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.186+0.382j),2.8732611831763078e-06j,(0.972+0.014j),(41.386+86.084j),(-0+0.001j),(0.972+0.014j),132.0,699.8,115.2,-30.5,684.7,-6.4,39.1,22.04,True,216,636,99.0,64.3,74.57,32.2
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.093+0.268j),4.097473272576863e-06j,(0.972+0.01j),(20.693+60.298j),(-0+0.001j),(0.972+0.01j),132.0,699.8,120.9,-19.8,690.1,-9.6,47.0,11.08,True,216,636,175.92,71.1,129.3,35.5
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.093+0.259j),4.240559362273198e-06j,(0.972+0.01j),(20.693+58.268j),(-0+0.001j),(0.972+0.01j),132.0,699.8,120.4,-19.1,690.8,-9.9,47.7,11.09,True,216,636,178.59,70.4,131.52,35.2
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.062+0.232j),4.738978162261975e-06j,(0.972+0.007j),(13.796+52.112j),(-0+0.001j),(0.972+0.007j),132.0,699.8,123.8,-16.7,693.8,-11.3,55.0,7.41,True,216,636,230.4,75.2,167.47,37.6
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.062+0.216j),5.070035355472591e-06j,(0.972+0.008j),(13.796+48.714j),(-0+0.001j),(0.972+0.008j),132.0,699.8,123.1,-15.6,695.8,-12.0,56.4,7.43,True,216,636,239.43,74.2,174.46,37.1
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.046+0.203j),5.3952609508631095e-06j,(0.972+0.006j),(10.347+45.765j),(-0+0.001j),(0.972+0.006j),132.0,699.8,125.0,-14.4,698.0,-12.9,63.0,5.58,True,216,636,278.21,77.3,201.27,38.6
Tower Type A1,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.112+0.366j),2.9982141476233003e-06j,(0.972+0.009j),(24.934+82.385j),(-0+0.001j),(0.972+0.009j),132.0,699.8,124.4,-27.0,685.4,-7.0,40.6,13.29,True,299,875,138.69,73.2,101.11,36.6
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.056+0.26j),4.222964204081824e-06j,(0.972+0.006j),(12.467+58.466j),(-0+0.001j),(0.972+0.006j),132.0,699.8,126.1,-18.5,691.1,-10.1,50.2,6.68,True,299,875,222.97,78.0,160.97,39.0
